pitstopID,raceId,driverId,stop_no,lap,lapId,time_stamp,pitstop_secs,pitstops_milli,Pitlane_secs,pitlane_milli,round(pitlane)
1,841,153,1,1,1008,17:05:23,4.72,4718,26.9,26898,27
2,841,30,1,1,1065,17:05:52,2.84,2841,25.02,25021,25
3,841,17,1,11,127,17:20:48,1.86,1863,23.43,23426,23
4,841,4,1,12,440,17:22:34,2.04,2044,23.25,23251,23
5,841,13,1,13,245,17:24:10,2.02,2023,23.84,23842,24
6,841,22,1,13,972,17:24:29,2.45,2452,23.64,23643,24
7,841,20,1,14,14,17:25:17,1.8,1804,22.6,22603,23
8,841,814,1,14,500,17:26:03,2.68,2683,24.86,24863,25
9,841,816,1,14,870,17:26:50,3.08,3079,25.26,25259,25
10,841,67,1,15,558,17:27:34,3.16,3162,25.34,25342,25
11,841,2,1,15,672,17:27:41,2.03,2027,22.99,22994,23
12,841,1,1,16,74,17:28:24,2.15,2145,23.23,23227,23
13,841,808,1,16,190,17:28:39,2.35,2355,24.54,24535,25
14,841,3,1,16,364,17:29:00,1.89,1886,23.72,23716,24
15,841,155,1,16,386,17:29:06,1.88,1884,24.06,24064,24
16,841,16,1,16,616,17:29:08,3.8,3798,25.98,25978,26
17,841,15,1,16,816,17:29:49,2.72,2719,24.9,24899,25
18,841,18,1,17,307,17:30:24,3.74,3743,25.92,25923,26
19,841,153,2,17,1024,17:31:06,2.28,2283,24.46,24463,24
20,841,5,1,17,789,17:31:11,2.68,2685,24.87,24865,25
21,841,30,2,17,1081,17:32:08,2.23,2234,23.99,23988,24
22,841,10,1,18,928,17:33:02,2.28,2279,23.79,23792,24
23,841,18,2,19,309,17:33:53,2.35,2355,23.3,23303,23
24,841,815,1,23,737,17:40:27,1.99,1990,23.44,23438,23
25,841,22,2,23,982,17:40:45,15.68,15676,37.86,37856,38
26,841,17,2,26,142,17:44:29,1.81,1808,22.52,22520,23
27,841,4,2,27,455,17:46:04,2.55,2553,24.73,24733,25
28,841,22,3,28,987,17:49:07,3.72,3718,25.9,25898,26
29,841,67,2,29,572,17:49:47,2.17,2174,23.1,23100,23
30,841,2,2,30,687,17:51:32,2.92,2918,25.1,25098,25
31,841,13,2,31,263,17:52:28,2.32,2320,24.5,24500,25
32,841,155,2,32,402,17:54:21,2.01,2012,24.19,24192,24
33,841,20,2,36,36,17:59:17,1.86,1856,24.04,24036,24
34,841,1,2,36,94,17:59:29,1.83,1831,23.2,23199,23
35,841,153,3,35,1042,17:59:45,4.17,4168,26.35,26348,26
36,841,808,2,36,210,17:59:47,3.5,3503,25.68,25683,26
37,841,814,2,36,522,18:00:48,2.15,2152,24.33,24332,24
38,841,18,3,37,327,18:01:49,2.23,2230,22.68,22681,23
39,841,16,2,37,637,18:02:15,1.89,1894,23.87,23871,24
40,841,15,2,37,837,18:03:55,2.67,2668,24.85,24848,25
41,841,816,2,38,894,18:06:53,4.27,4266,26.45,26446,26
42,841,17,3,41,157,18:07:37,4.05,4050,26.23,26230,26
43,841,22,4,40,999,18:08:03,4.13,4129,26.31,26309,26
44,841,4,3,42,470,18:09:08,2,2001,24.18,24181,24
45,841,13,3,48,280,18:18:54,1.91,1915,24.1,24095,24
46,842,16,1,3,1885,16:09:07,9.4,9396,31.69,31694,32
47,842,22,1,3,1863,16:10:04,10.68,10680,32.98,32978,33
48,842,17,1,10,1537,16:21:21,2.25,2246,22.57,22572,23
49,842,814,1,11,1815,16:23:16,2.16,2156,22.77,22773,23
50,842,1,1,12,1207,16:24:40,1.96,1960,22.55,22552,23
51,842,20,1,13,1077,16:26:17,2.03,2028,23.02,23019,23
52,842,2,1,13,1152,16:26:28,2.11,2113,23.9,23900,24
53,842,18,1,13,1264,16:26:29,2.3,2296,22.4,22400,22
54,842,13,1,13,1372,16:26:30,6.93,6926,29.22,29224,29
55,842,15,1,13,2091,16:27:03,3.22,3218,25.52,25516,26
56,842,4,1,14,1429,16:28:15,2.16,2165,23.15,23152,23
57,842,30,1,14,1485,16:28:34,2.17,2165,22.58,22576,23
58,842,808,1,15,1322,16:30:10,2.27,2266,23.18,23182,23
59,842,67,1,15,1709,16:30:23,2.39,2387,23.28,23280,23
60,842,3,1,15,247,16:30:37,2.67,2669,24.97,24967,25
61,842,5,1,15,815,16:30:37,6.79,6786,29.08,29084,29
62,842,153,1,16,1655,16:32:25,1.85,1853,23.58,23584,24
