raceId,year,round,circuitId,name,date,time
1,2009,1,1,Australian Grand Prix,3/29/2009,6:00:00
2,2009,2,2,Malaysian Grand Prix,4/5/2009,9:00:00
3,2009,3,17,Chinese Grand Prix,4/19/2009,7:00:00
4,2009,4,3,Bahrain Grand Prix,4/26/2009,12:00:00
5,2009,5,4,Spanish Grand Prix,5/10/2009,12:00:00
6,2009,6,6,Monaco Grand Prix,5/24/2009,12:00:00
7,2009,7,5,Turkish Grand Prix,6/7/2009,12:00:00
8,2009,8,9,British Grand Prix,6/21/2009,12:00:00
9,2009,9,20,German Grand Prix,7/12/2009,12:00:00
10,2009,10,11,Hungarian Grand Prix,7/26/2009,12:00:00
11,2009,11,12,European Grand Prix,8/23/2009,12:00:00
12,2009,12,13,Belgian Grand Prix,8/30/2009,12:00:00
13,2009,13,14,Italian Grand Prix,9/13/2009,12:00:00
14,2009,14,15,Singapore Grand Prix,9/27/2009,12:00:00
15,2009,15,22,Japanese Grand Prix,10/4/2009,5:00:00
16,2009,16,18,Brazilian Grand Prix,10/18/2009,16:00:00
17,2009,17,24,Abu Dhabi Grand Prix,11/1/2009,11:00:00
18,2008,1,1,Australian Grand Prix,3/16/2008,4:30:00
19,2008,2,2,Malaysian Grand Prix,3/23/2008,7:00:00
20,2008,3,3,Bahrain Grand Prix,4/6/2008,11:30:00
21,2008,4,4,Spanish Grand Prix,4/27/2008,12:00:00
22,2008,5,5,Turkish Grand Prix,5/11/2008,12:00:00
23,2008,6,6,Monaco Grand Prix,5/25/2008,12:00:00
24,2008,7,7,Canadian Grand Prix,6/8/2008,17:00:00
25,2008,8,8,French Grand Prix,6/22/2008,12:00:00
26,2008,9,9,British Grand Prix,7/6/2008,12:00:00
27,2008,10,10,German Grand Prix,7/20/2008,12:00:00
28,2008,11,11,Hungarian Grand Prix,8/3/2008,12:00:00
29,2008,12,12,European Grand Prix,8/24/2008,12:00:00
30,2008,13,13,Belgian Grand Prix,9/7/2008,12:00:00
31,2008,14,14,Italian Grand Prix,9/14/2008,12:00:00
32,2008,15,15,Singapore Grand Prix,9/28/2008,12:00:00
33,2008,16,16,Japanese Grand Prix,10/12/2008,4:30:00
34,2008,17,17,Chinese Grand Prix,10/19/2008,7:00:00
35,2008,18,18,Brazilian Grand Prix,11/2/2008,17:00:00
36,2007,1,1,Australian Grand Prix,3/18/2007,3:00:00
37,2007,2,2,Malaysian Grand Prix,4/8/2007,7:00:00
38,2007,3,3,Bahrain Grand Prix,4/15/2007,11:30:00
39,2007,4,4,Spanish Grand Prix,5/13/2007,12:00:00
40,2007,5,6,Monaco Grand Prix,5/27/2007,12:00:00
41,2007,6,7,Canadian Grand Prix,6/10/2007,17:00:00
42,2007,7,19,United States Grand Prix,6/17/2007,17:00:00
43,2007,8,8,French Grand Prix,7/1/2007,12:00:00
44,2007,9,9,British Grand Prix,7/8/2007,12:00:00
45,2007,10,20,European Grand Prix,7/22/2007,12:00:00
46,2007,11,11,Hungarian Grand Prix,8/5/2007,12:00:00
47,2007,12,5,Turkish Grand Prix,8/26/2007,12:00:00
48,2007,13,14,Italian Grand Prix,9/9/2007,12:00:00
49,2007,14,13,Belgian Grand Prix,9/16/2007,12:00:00
50,2007,15,16,Japanese Grand Prix,9/30/2007,4:30:00
51,2007,16,17,Chinese Grand Prix,10/7/2007,6:00:00
52,2007,17,18,Brazilian Grand Prix,10/21/2007,16:00:00
53,2006,1,3,Bahrain Grand Prix,3/12/2006,14:30:00
54,2006,2,2,Malaysian Grand Prix,3/19/2006,15:00:00
55,2006,3,1,Australian Grand Prix,4/2/2006,14:00:00
56,2006,4,21,San Marino Grand Prix,4/23/2006,14:00:00
57,2006,5,20,European Grand Prix,5/7/2006,14:00:00
58,2006,6,4,Spanish Grand Prix,5/14/2006,14:00:00
59,2006,7,6,Monaco Grand Prix,5/28/2006,14:00:00
60,2006,8,9,British Grand Prix,6/11/2006,12:00:00
61,2006,9,7,Canadian Grand Prix,6/25/2006,13:00:00
62,2006,10,19,United States Grand Prix,7/2/2006,14:00:00
63,2006,11,8,French Grand Prix,7/16/2006,14:00:00
64,2006,12,10,German Grand Prix,7/30/2006,14:00:00
65,2006,13,11,Hungarian Grand Prix,8/6/2006,14:00:00
66,2006,14,5,Turkish Grand Prix,8/27/2006,15:00:00
67,2006,15,14,Italian Grand Prix,9/10/2006,14:00:00
68,2006,16,17,Chinese Grand Prix,10/1/2006,14:00:00
69,2006,17,22,Japanese Grand Prix,10/8/2006,14:00:00
70,2006,18,18,Brazilian Grand Prix,10/22/2006,14:00:00
71,2005,1,1,Australian Grand Prix,3/6/2005,14:00:00
72,2005,2,2,Malaysian Grand Prix,3/20/2005,15:00:00
73,2005,3,3,Bahrain Grand Prix,4/3/2005,14:30:00
74,2005,4,21,San Marino Grand Prix,4/24/2005,14:00:00
75,2005,5,4,Spanish Grand Prix,5/8/2005,14:00:00
76,2005,6,6,Monaco Grand Prix,5/22/2005,14:00:00
77,2005,7,20,European Grand Prix,5/29/2005,14:00:00
78,2005,8,7,Canadian Grand Prix,6/12/2005,13:00:00
79,2005,9,19,United States Grand Prix,6/19/2005,14:00:00
80,2005,10,8,French Grand Prix,7/3/2005,14:00:00
81,2005,11,9,British Grand Prix,7/10/2005,14:00:00
82,2005,12,10,German Grand Prix,7/24/2005,14:00:00
83,2005,13,11,Hungarian Grand Prix,7/31/2005,14:00:00
84,2005,14,5,Turkish Grand Prix,8/21/2005,15:00:00
85,2005,15,14,Italian Grand Prix,9/4/2005,14:00:00
86,2005,16,13,Belgian Grand Prix,9/11/2005,14:00:00
87,2005,17,18,Brazilian Grand Prix,9/25/2005,14:00:00
88,2005,18,22,Japanese Grand Prix,10/9/2005,14:00:00
89,2005,19,17,Chinese Grand Prix,10/16/2005,14:00:00
90,2004,1,1,Australian Grand Prix,3/7/2004,6:00:00
91,2004,2,2,Malaysian Grand Prix,3/21/2004,9:00:00
92,2004,3,3,Bahrain Grand Prix,4/4/2004,7:00:00
93,2004,4,21,San Marino Grand Prix,4/25/2004,12:00:00
94,2004,5,4,Spanish Grand Prix,5/9/2004,12:00:00
95,2004,6,6,Monaco Grand Prix,5/23/2004,12:00:00
96,2004,7,20,European Grand Prix,5/30/2004,12:00:00
97,2004,8,7,Canadian Grand Prix,6/13/2004,12:00:00
98,2004,9,19,United States Grand Prix,6/20/2004,12:00:00
99,2004,10,8,French Grand Prix,7/4/2004,12:00:00
100,2004,11,9,British Grand Prix,7/11/2004,12:00:00
101,2004,12,10,German Grand Prix,7/25/2004,12:00:00
102,2004,13,11,Hungarian Grand Prix,8/15/2004,12:00:00
103,2004,14,13,Belgian Grand Prix,8/29/2004,12:00:00
104,2004,15,14,Italian Grand Prix,9/12/2004,5:00:00
105,2004,16,17,Chinese Grand Prix,9/26/2004,16:00:00
106,2004,17,22,Japanese Grand Prix,10/10/2004,11:00:00
107,2004,18,18,Brazilian Grand Prix,10/24/2004,4:30:00
108,2003,1,1,Australian Grand Prix,3/9/2003,7:00:00
109,2003,2,2,Malaysian Grand Prix,3/23/2003,11:30:00
110,2003,3,18,Brazilian Grand Prix,4/6/2003,12:00:00
111,2003,4,21,San Marino Grand Prix,4/20/2003,12:00:00
112,2003,5,4,Spanish Grand Prix,5/4/2003,12:00:00
113,2003,6,23,Austrian Grand Prix,5/18/2003,17:00:00
114,2003,7,6,Monaco Grand Prix,6/1/2003,12:00:00
115,2003,8,7,Canadian Grand Prix,6/15/2003,12:00:00
116,2003,9,20,European Grand Prix,6/29/2003,12:00:00
117,2003,10,8,French Grand Prix,7/6/2003,12:00:00
118,2003,11,9,British Grand Prix,7/20/2003,12:00:00
119,2003,12,10,German Grand Prix,8/3/2003,12:00:00
120,2003,13,11,Hungarian Grand Prix,8/24/2003,12:00:00
121,2003,14,14,Italian Grand Prix,9/14/2003,12:00:00
122,2003,15,19,United States Grand Prix,9/28/2003,4:30:00
123,2003,16,22,Japanese Grand Prix,10/12/2003,7:00:00
124,2002,1,1,Australian Grand Prix,3/3/2002,17:00:00
125,2002,2,2,Malaysian Grand Prix,3/17/2002,3:00:00
126,2002,3,18,Brazilian Grand Prix,3/31/2002,7:00:00
127,2002,4,21,San Marino Grand Prix,4/14/2002,11:30:00
128,2002,5,4,Spanish Grand Prix,4/28/2002,12:00:00
129,2002,6,23,Austrian Grand Prix,5/12/2002,6:00:00
130,2002,7,6,Monaco Grand Prix,5/26/2002,9:00:00
131,2002,8,7,Canadian Grand Prix,6/9/2002,7:00:00
132,2002,9,20,European Grand Prix,6/23/2002,12:00:00
133,2002,10,9,British Grand Prix,7/7/2002,12:00:00
134,2002,11,8,French Grand Prix,7/21/2002,12:00:00
135,2002,12,10,German Grand Prix,7/28/2002,12:00:00
136,2002,13,11,Hungarian Grand Prix,8/18/2002,12:00:00
137,2002,14,13,Belgian Grand Prix,9/1/2002,12:00:00
138,2002,15,14,Italian Grand Prix,9/15/2002,12:00:00
139,2002,16,19,United States Grand Prix,9/29/2002,12:00:00
140,2002,17,22,Japanese Grand Prix,10/13/2002,12:00:00
141,2001,1,1,Australian Grand Prix,3/4/2001,12:00:00
142,2001,2,2,Malaysian Grand Prix,3/18/2001,12:00:00
143,2001,3,18,Brazilian Grand Prix,4/1/2001,5:00:00
144,2001,4,21,San Marino Grand Prix,4/15/2001,16:00:00
145,2001,5,4,Spanish Grand Prix,4/29/2001,11:00:00
146,2001,6,23,Austrian Grand Prix,5/13/2001,4:30:00
147,2001,7,6,Monaco Grand Prix,5/27/2001,7:00:00
148,2001,8,7,Canadian Grand Prix,6/10/2001,11:30:00
149,2001,9,20,European Grand Prix,6/24/2001,12:00:00
150,2001,10,8,French Grand Prix,7/1/2001,12:00:00
151,2001,11,9,British Grand Prix,7/15/2001,12:00:00
152,2001,12,10,German Grand Prix,7/29/2001,17:00:00
153,2001,13,11,Hungarian Grand Prix,8/19/2001,12:00:00
154,2001,14,13,Belgian Grand Prix,9/2/2001,12:00:00
155,2001,15,14,Italian Grand Prix,9/16/2001,12:00:00
156,2001,16,19,United States Grand Prix,9/30/2001,12:00:00
157,2001,17,22,Japanese Grand Prix,10/14/2001,12:00:00
158,2000,1,1,Australian Grand Prix,3/12/2000,12:00:00
159,2000,2,18,Brazilian Grand Prix,3/26/2000,12:00:00
160,2000,3,21,San Marino Grand Prix,4/9/2000,12:00:00
161,2000,4,9,British Grand Prix,4/23/2000,4:30:00
162,2000,5,4,Spanish Grand Prix,5/7/2000,7:00:00
163,2000,6,20,European Grand Prix,5/21/2000,17:00:00
164,2000,7,6,Monaco Grand Prix,6/4/2000,3:00:00
165,2000,8,7,Canadian Grand Prix,6/18/2000,7:00:00
166,2000,9,8,French Grand Prix,7/2/2000,11:30:00
167,2000,10,23,Austrian Grand Prix,7/16/2000,12:00:00
168,2000,11,10,German Grand Prix,7/30/2000,6:00:00
169,2000,12,11,Hungarian Grand Prix,8/13/2000,9:00:00
170,2000,13,13,Belgian Grand Prix,8/27/2000,7:00:00
171,2000,14,14,Italian Grand Prix,9/10/2000,12:00:00
172,2000,15,19,United States Grand Prix,9/24/2000,12:00:00
173,2000,16,22,Japanese Grand Prix,10/8/2000,12:00:00
174,2000,17,2,Malaysian Grand Prix,10/22/2000,12:00:00
175,1999,1,1,Australian Grand Prix,3/7/1999,12:00:00
176,1999,2,18,Brazilian Grand Prix,4/11/1999,12:00:00
177,1999,3,21,San Marino Grand Prix,5/2/1999,12:00:00
178,1999,4,6,Monaco Grand Prix,5/16/1999,12:00:00
179,1999,5,4,Spanish Grand Prix,5/30/1999,12:00:00
180,1999,6,7,Canadian Grand Prix,6/13/1999,12:00:00
181,1999,7,8,French Grand Prix,6/27/1999,12:00:00
182,1999,8,9,British Grand Prix,7/11/1999,5:00:00
183,1999,9,23,Austrian Grand Prix,7/25/1999,16:00:00
184,1999,10,10,German Grand Prix,8/1/1999,11:00:00
185,1999,11,11,Hungarian Grand Prix,8/15/1999,4:30:00
186,1999,12,13,Belgian Grand Prix,8/29/1999,7:00:00
187,1999,13,14,Italian Grand Prix,9/12/1999,11:30:00
188,1999,14,20,European Grand Prix,9/26/1999,12:00:00
189,1999,15,2,Malaysian Grand Prix,10/17/1999,12:00:00
190,1999,16,22,Japanese Grand Prix,10/31/1999,12:00:00
191,1998,1,1,Australian Grand Prix,3/8/1998,17:00:00
192,1998,2,18,Brazilian Grand Prix,3/29/1998,12:00:00
193,1998,3,25,Argentine Grand Prix,4/12/1998,12:00:00
194,1998,4,21,San Marino Grand Prix,4/26/1998,12:00:00
