seasonID,year,number_teams,Constructor_champ,Driver_champ
101,1950,,,
102,1951,,,
103,1952,,,
104,1953,,,
105,1954,,,
106,1955,,,
107,1956,,,
108,1957,,,
109,1958,,,
110,1959,,,
111,1960,,,
112,1961,,,
113,1962,,,
114,1963,,,
115,1964,,,
116,1965,,,
117,1966,,,
118,1967,,,
119,1968,,,
120,1969,,,
121,1970,,,
122,1971,,,
123,1972,,,
124,1973,,,
125,1974,,,
126,1975,,,
127,1976,,,
128,1977,,,
129,1978,,,
130,1979,,,
131,1980,,,
132,1981,,,
133,1982,,,
134,1983,,,
135,1984,,,
136,1985,,,
137,1986,,,
138,1987,,,
139,1988,,,
140,1989,,,
141,1990,,,
142,1991,,,
143,1992,,,
144,1993,,,
145,1994,,,
146,1995,,,
147,1996,,,
148,1997,,,
149,1998,,,
150,1999,,,
151,2000,,,
152,2001,,,
153,2002,,,
154,2003,,,
155,2004,,,
156,2005,,,
157,2006,,,
158,2007,,,
159,2008,,,
160,2009,,,
161,2010,,,
162,2011,,,
163,2012,,,
164,2013,,,
165,2014,,,
166,2015,,,
167,2016,,,
168,2017,,,
169,2018,,,
